Par	mean	std	median	perc5	perc95
z1:	261.15	119.68	285.33	 5.67	401.26
z2:	369.83	313.10	298.07	 4.46	907.41
r1:	192.30	100.24	203.02	32.40	355.46
r2:	42.21	78.01	 4.15	-92.66	170.85
r3:	1542.53	1415.24	669.42	313.28	4510.59
