Par	mean	std	median	perc5	perc95
z1:	291.89	167.73	323.45	-78.25	508.28
z2:	313.08	287.81	187.10	 4.46	885.16
r1:	250.68	133.66	276.01	32.40	450.02
r2:	45.59	77.31	16.20	-92.66	170.85
r3:	1522.47	1431.91	641.09	312.68	4518.94
