Par	mean	std	median	perc5	perc95
z1:	477.92	317.42	526.49	-23.71	921.11
z2:	233.79	227.87	159.84	 4.46	798.42
r1:	235.16	125.99	259.90	32.40	435.74
r2:	47.06	75.86	17.56	-92.66	170.85
r3:	1270.02	1306.41	592.00	237.91	4457.07
