Par	mean	std	median	perc5	perc95
z1:	154.94	100.48	127.61	-23.71	340.46
z2:	479.66	440.91	187.10	-10.77	997.05
r1:	126.48	99.43	105.02	-59.42	334.57
r2:	42.95	78.83	 1.75	-92.66	170.85
r3:	324.59	219.13	352.88	100.17	661.34
