Par	mean	std	median	perc5	perc95
z1:	144.35	99.55	102.27	 5.67	338.88
z2:	452.27	406.36	235.01	-10.77	985.28
r1:	122.48	96.31	103.47	-59.42	333.47
r2:	41.55	78.19	 1.44	-92.66	170.85
r3:	313.37	214.84	312.68	100.59	654.34
