Par	mean	std	median	perc5	perc95
z1:	367.51	245.24	338.88	-78.25	702.70
z2:	446.41	414.38	195.55	-10.77	989.78
r1:	139.16	97.41	131.62	-59.42	333.47
r2:	41.30	79.39	 1.52	-92.66	170.85
r3:	334.73	220.02	352.88	100.88	661.34
