lat_dec, lon_dec, elev [m] 
-38.571,176.184,397.49
-38.569,176.251,352.41
-38.576,175.998,638.90
-38.574,176.065,558.19
-38.573,176.132,421.96
-38.571,176.199,362.79
-38.578,175.946,592.28
-38.576,176.013,709.92
-38.575,176.080,546.71
-38.573,176.147,380.01
-38.571,176.214,340.91
-38.578,175.961,632.29
-38.576,176.029,538.46
-38.575,176.096,540.15
-38.573,176.163,394.03
-38.571,176.230,338.24
-38.578,175.977,617.27
-38.577,176.044,564.76
-38.575,176.111,496.31
-38.573,176.178,401.52
-38.571,176.245,353.10
-38.578,175.992,620.04
-38.577,176.059,531.51
-38.575,176.127,453.14
-38.573,176.194,366.24
-38.579,176.008,614.10
-38.577,176.075,543.34
-38.575,176.142,427.10
-38.573,176.209,341.30
-38.580,175.956,639.93
-38.579,176.023,539.44
-38.577,176.090,520.90
-38.575,176.158,394.29
-38.573,176.225,340.54
-38.581,175.972,639.44
-38.579,176.039,549.29
-38.577,176.106,503.73
-38.575,176.173,409.13
-38.573,176.240,359.96
-38.581,175.987,616.20
-38.579,176.054,542.94
-38.577,176.121,459.04
-38.575,176.188,388.34
-38.581,176.003,640.16
-38.579,176.070,560.10
-38.577,176.137,415.32
-38.575,176.204,357.41
-38.583,175.951,636.97
-38.581,176.018,554.69
-38.579,176.085,540.79
-38.577,176.152,392.91
-38.575,176.219,340.70
-38.583,175.966,647.84
-38.581,176.033,527.69
-38.579,176.101,503.40
-38.577,176.168,417.59
-38.575,176.235,342.31
-38.583,175.982,616.69
-38.581,176.049,560.74
-38.579,176.116,457.33
-38.577,176.183,399.97
-38.576,176.250,364.04
-38.583,175.997,633.56
-38.581,176.064,520.41
-38.579,176.131,412.51
-38.578,176.199,361.72
-38.585,175.946,619.99
-38.583,176.013,558.13
-38.581,176.080,538.08
-38.580,176.147,391.81
-38.578,176.214,348.27
-38.585,175.961,639.71
-38.583,176.028,529.51
-38.581,176.095,499.05
-38.580,176.162,415.26
-38.578,176.230,348.12
-38.585,175.977,654.48
-38.583,176.044,557.16
-38.582,176.111,452.92
-38.580,176.178,406.77
-38.578,176.245,364.89
-38.585,175.992,622.06
-38.584,176.059,569.16
-38.582,176.126,448.33
-38.580,176.193,369.14
-38.585,176.007,579.35
-38.584,176.075,540.33
-38.582,176.142,400.51
-38.580,176.209,373.33
-38.587,175.956,665.65
-38.586,176.023,533.74
-38.584,176.090,505.73
-38.582,176.157,427.97
-38.580,176.224,355.15
-38.587,175.971,658.93
-38.586,176.038,505.44
-38.584,176.105,468.36
-38.582,176.173,416.65
-38.580,176.240,370.19
-38.588,175.987,620.21
-38.586,176.054,559.14
-38.584,176.121,450.72
-38.582,176.188,392.58
-38.588,176.002,599.72
-38.586,176.069,538.02
-38.584,176.136,421.59
-38.582,176.204,385.82
-38.590,175.950,684.08
-38.588,176.018,569.35
-38.586,176.085,515.78
-38.584,176.152,417.61
-38.582,176.219,365.06
-38.590,175.966,658.51
-38.588,176.033,509.11
-38.586,176.100,480.31
-38.584,176.167,426.23
-38.582,176.234,440.35
-38.590,175.981,646.05
-38.588,176.049,594.03
-38.586,176.116,478.67
-38.584,176.183,404.83
-38.582,176.250,375.05
-38.590,175.997,600.03
-38.588,176.064,510.19
-38.586,176.131,448.17
-38.584,176.198,385.67
-38.592,175.945,647.41
-38.590,176.012,550.50
-38.588,176.079,527.23
-38.586,176.147,442.36
-38.585,176.214,375.57
-38.592,175.961,678.63
-38.590,176.028,520.95
-38.588,176.095,492.25
-38.586,176.162,433.36
-38.585,176.229,391.56
-38.592,175.976,644.95
-38.590,176.043,500.35
-38.588,176.110,497.88
-38.587,176.178,420.09
-38.585,176.245,386.53
-38.592,175.992,591.10
-38.590,176.059,483.11
-38.589,176.126,466.52
-38.587,176.193,440.60
-38.592,176.007,552.13
-38.590,176.074,521.28
-38.589,176.141,433.67
-38.587,176.208,410.20
-38.594,175.955,693.24
-38.592,176.023,560.96
-38.591,176.090,487.91
-38.589,176.157,444.79
-38.587,176.224,380.01
-38.594,175.971,658.14
-38.593,176.038,521.39
-38.591,176.105,500.97
-38.589,176.172,421.28
-38.587,176.239,462.10
-38.594,175.986,620.56
-38.593,176.053,476.89
-38.591,176.121,476.60
-38.589,176.188,429.08
-38.595,176.002,560.95
-38.593,176.069,479.43
-38.591,176.136,444.04
-38.589,176.203,441.01
-38.596,175.950,689.34
-38.595,176.017,540.42
-38.593,176.084,462.81
-38.591,176.152,442.18
-38.589,176.219,401.82
-38.597,175.966,652.98
-38.595,176.033,551.20
-38.593,176.100,483.04
-38.591,176.167,423.58
-38.589,176.234,477.61
-38.597,175.981,619.54
-38.595,176.048,479.42
-38.593,176.115,480.53
-38.591,176.182,446.15
-38.589,176.250,321.99
-38.597,175.996,579.09
-38.595,176.064,460.78
-38.593,176.131,460.62
-38.591,176.198,487.49
-38.599,175.945,666.21
-38.597,176.012,542.59
-38.595,176.079,479.33
-38.593,176.146,456.50
-38.591,176.213,403.37
-38.599,175.960,638.01
-38.597,176.027,519.04
-38.595,176.095,440.47
-38.593,176.162,422.12
-38.591,176.229,369.85
-38.599,175.976,616.45
-38.597,176.043,500.03
-38.595,176.110,480.91
-38.593,176.177,388.15
-38.592,176.244,326.30
-38.599,175.991,609.02
-38.597,176.058,460.10
-38.595,176.125,459.85
-38.594,176.193,437.24
-38.599,176.007,548.67
-38.597,176.074,485.08
-38.596,176.141,440.08
-38.594,176.208,390.85
-38.601,175.955,678.40
-38.599,176.022,519.51
-38.597,176.089,456.24
-38.596,176.156,418.68
-38.594,176.224,380.99
-38.601,175.970,620.22
-38.599,176.038,518.88
-38.598,176.105,460.75
-38.596,176.172,402.27
-38.594,176.239,336.69
-38.601,175.986,601.32
-38.599,176.053,477.13
-38.598,176.120,444.97
-38.596,176.187,368.47
-38.594,176.254,316.01
-38.601,176.001,561.90
-38.600,176.069,440.45
-38.598,176.136,444.99
-38.596,176.203,341.47
-38.603,175.950,691.28
-38.602,176.017,519.68
-38.600,176.084,433.75
-38.598,176.151,441.12
-38.596,176.218,363.74
-38.603,175.965,620.18
-38.602,176.032,500.31
-38.600,176.099,420.24
-38.598,176.167,399.91
-38.596,176.234,329.85
-38.604,175.981,586.32
-38.602,176.048,506.11
-38.600,176.115,449.64
-38.598,176.182,342.39
-38.596,176.249,315.52
-38.604,175.996,597.48
-38.602,176.063,453.95
-38.600,176.130,467.20
-38.598,176.198,327.17
-38.606,175.944,661.52
-38.604,176.012,573.71
-38.602,176.079,442.41
-38.600,176.146,372.67
-38.598,176.213,352.69
-38.606,175.960,615.05
-38.604,176.027,522.80
-38.602,176.094,471.83
-38.600,176.161,407.63
-38.598,176.228,335.79
-38.606,175.975,577.72
-38.604,176.043,495.27
-38.602,176.110,460.97
-38.600,176.177,345.95
-38.598,176.244,308.75
-38.606,175.991,587.98
-38.604,176.058,500.29
-38.602,176.125,447.99
-38.600,176.192,319.40
-38.606,176.006,601.36
-38.604,176.073,421.44
-38.602,176.141,439.45
-38.601,176.208,333.69
-38.608,175.955,602.42
-38.606,176.022,541.83
-38.604,176.089,413.76
-38.602,176.156,414.81
-38.601,176.223,315.57
-38.608,175.970,573.04
-38.606,176.037,494.77
-38.604,176.104,395.55
-38.603,176.172,355.49
-38.601,176.239,302.74
-38.608,175.986,581.25
-38.606,176.053,480.05
-38.605,176.120,401.19
-38.603,176.187,313.56
-38.601,176.254,304.63
-38.608,176.001,596.28
-38.606,176.068,433.19
-38.605,176.135,431.27
-38.603,176.202,303.57
-38.610,175.949,563.31
-38.608,176.016,542.52
-38.607,176.084,419.73
-38.605,176.151,404.18
-38.603,176.218,302.09
-38.610,175.965,553.93
-38.609,176.032,492.15
-38.607,176.099,400.58
-38.605,176.166,358.06
-38.603,176.233,301.02
-38.610,175.980,579.54
-38.609,176.047,472.00
-38.607,176.115,459.25
-38.605,176.182,315.97
-38.603,176.249,300.28
-38.611,175.996,576.75
-38.609,176.063,429.26
-38.607,176.130,410.58
-38.605,176.197,314.20
-38.612,175.944,572.17
-38.611,176.011,576.18
-38.609,176.078,404.31
-38.607,176.146,399.01
-38.605,176.213,310.73
-38.613,175.960,567.28
-38.611,176.027,539.62
-38.609,176.094,441.45
-38.607,176.161,366.19
-38.605,176.228,306.67
-38.613,175.975,591.32
-38.611,176.042,476.86
-38.609,176.109,393.45
-38.607,176.176,316.47
-38.605,176.244,309.16
-38.613,175.990,539.26
-38.611,176.058,484.84
-38.609,176.125,439.79
-38.607,176.192,314.52
-38.613,176.006,569.28
-38.611,176.073,400.66
-38.609,176.140,400.77
-38.607,176.207,312.78
-38.615,175.954,553.13
-38.613,176.021,560.72
-38.611,176.089,441.48
-38.609,176.156,318.33
-38.607,176.223,316.44
-38.615,175.970,540.31
-38.613,176.037,487.74
-38.611,176.104,459.94
-38.609,176.171,316.71
-38.608,176.238,314.48
-38.615,175.985,543.26
-38.613,176.052,505.27
-38.611,176.119,389.52
-38.610,176.187,314.23
-38.608,176.254,300.10
-38.615,176.001,579.86
-38.613,176.068,469.90
-38.612,176.135,382.53
-38.610,176.202,318.88
-38.617,175.949,540.03
-38.615,176.016,554.49
-38.613,176.083,420.33
-38.612,176.150,320.28
-38.610,176.218,322.78
-38.617,175.964,519.17
-38.615,176.032,531.73
-38.614,176.099,437.46
