Par	mean	std	median	perc5	perc95
z1:	139.91	102.37	105.03	-23.71	338.88
z2:	486.23	429.50	293.75	-10.77	996.25
r1:	132.92	96.82	103.65	30.39	334.57
r2:	40.66	79.38	 1.09	-92.66	170.85
r3:	314.86	216.21	312.68	100.42	654.34
