Par	mean	std	median	perc5	perc95
z1:	349.73	195.01	376.53	-23.71	634.50
z2:	336.73	307.12	212.69	 4.46	918.50
r1:	206.70	106.29	221.27	32.40	355.46
r2:	47.77	75.14	15.97	-92.66	170.85
r3:	1479.02	1407.89	621.91	312.68	4518.16
