# lat	lon	mean_z1	std_z1	mean_z2	std_z2
176.2184	-38.7121	282.07	523.99	372.12	570.27
176.2342	-38.7121	282.97	576.31	369.41	622.25
176.2500	-38.7121	283.39	629.63	367.59	675.39
175.9500	-38.7005	266.58	603.44	330.12	640.15
175.9658	-38.7005	266.27	556.24	329.60	592.68
175.9816	-38.7005	265.98	510.82	329.33	547.00
175.9974	-38.7005	265.73	467.55	329.47	503.52
176.0132	-38.7005	265.61	426.89	330.35	462.69
176.0289	-38.7005	265.74	389.38	332.58	425.11
176.0447	-38.7005	266.26	356.76	338.87	393.55
176.0605	-38.7005	265.34	330.31	353.97	371.40
176.0763	-38.7005	259.45	306.47	377.62	354.32
176.0921	-38.7005	244.29	276.88	407.68	331.21
176.1079	-38.7005	217.77	238.85	437.61	297.17
176.1237	-38.7005	228.15	251.63	423.48	317.26
176.1395	-38.7005	251.11	291.17	419.71	351.19
176.1553	-38.7005	265.03	325.98	405.36	380.78
176.1711	-38.7005	273.52	355.41	391.34	405.39
176.1868	-38.7005	279.34	388.10	376.58	434.09
176.2026	-38.7005	283.26	435.26	364.71	479.21
176.2184	-38.7005	284.39	493.17	364.50	537.62
176.2342	-38.7005	284.84	551.04	364.72	595.92
176.2500	-38.7005	284.92	607.87	364.40	652.95
175.9500	-38.6889	265.78	581.51	325.35	617.03
175.9658	-38.6889	265.27	532.25	323.69	567.21
175.9816	-38.6889	264.69	484.60	321.88	518.90
175.9974	-38.6889	264.03	438.92	319.81	472.41
176.0132	-38.6889	263.30	395.59	317.34	427.96
176.0289	-38.6889	262.48	354.33	313.16	384.28
176.0447	-38.6889	262.95	315.59	304.80	339.65
176.0605	-38.6889	266.93	293.45	316.00	320.58
176.0763	-38.6889	248.51	279.91	353.65	324.58
176.0921	-38.6889	235.58	259.90	376.21	311.35
176.1079	-38.6889	223.94	240.63	390.44	295.25
176.1237	-38.6889	221.42	231.91	405.26	288.23
176.1395	-38.6889	253.85	268.55	407.36	326.76
176.1553	-38.6889	270.24	296.22	390.94	349.00
176.1711	-38.6889	277.62	314.14	378.96	360.92
176.1868	-38.6889	286.80	316.55	344.07	355.85
176.2026	-38.6889	290.73	376.03	327.21	409.94
176.2184	-38.6889	287.55	466.80	355.73	509.11
176.2342	-38.6889	287.26	530.72	359.82	574.48
176.2500	-38.6889	286.79	590.76	361.13	635.14
175.9500	-38.6774	265.22	562.60	320.61	596.89
175.9658	-38.6774	264.62	511.11	317.78	544.52
175.9816	-38.6774	263.89	460.94	314.37	493.26
175.9974	-38.6774	263.09	412.38	309.94	443.21
176.0132	-38.6774	262.57	365.43	303.20	393.75
176.0289	-38.6774	260.82	321.05	295.34	346.75
176.0447	-38.6774	261.39	280.15	288.67	304.39
176.0605	-38.6774	256.28	260.02	308.02	292.77
176.0763	-38.6774	240.15	243.06	330.39	285.85
176.0921	-38.6774	214.12	218.24	360.31	273.00
176.1079	-38.6774	209.23	206.36	391.41	265.80
176.1237	-38.6774	226.47	209.78	398.86	270.35
176.1395	-38.6774	269.05	227.28	423.34	289.96
176.1553	-38.6774	282.27	250.37	381.53	301.60
176.1711	-38.6774	281.17	227.22	354.66	267.03
176.1868	-38.6774	291.40	314.27	347.35	354.44
176.2026	-38.6774	290.82	338.01	296.11	363.06
