Par	mean	std	median	perc5	perc95
z1:	544.57	387.60	428.28	-23.71	990.11
z2:	507.16	432.57	335.68	-10.77	995.27
r1:	134.51	95.49	128.05	-59.42	334.57
r2:	43.21	77.37	 2.79	-92.66	170.85
r3:	308.50	219.40	240.90	100.33	661.34
