Par	mean	std	median	perc5	perc95
z1:	546.82	356.63	658.09	 4.20	981.72
z2:	339.69	313.69	187.10	 4.46	960.17
r1:	190.17	97.54	202.56	32.40	354.83
r2:	48.00	75.08	17.29	-92.66	170.85
r3:	1514.95	1408.13	664.20	312.68	4564.49
