Par	mean	std	median	perc5	perc95
z1:	203.02	101.52	226.25	-78.25	338.88
z2:	319.11	281.89	226.76	 4.46	893.38
r1:	652.15	796.49	450.91	32.40	2438.28
r2:	41.04	78.97	 4.61	-92.66	170.85
r3:	1390.62	1364.36	634.60	312.68	4405.21
