Par	mean	std	median	perc5	perc95
z1:	171.25	102.63	169.27	-78.25	338.88
z2:	298.59	297.10	164.54	-10.77	899.69
r1:	129.18	97.26	116.87	-59.42	333.47
r2:	45.16	77.37	14.43	-92.66	170.85
r3:	1341.37	1340.24	612.23	312.68	4159.61
