Par	mean	std	median	perc5	perc95
z1:	196.42	116.10	209.54	-78.25	370.46
z2:	109.21	88.83	131.03	-11.65	286.65
r1:	151.74	118.05	126.36	-59.42	355.46
r2:	50.73	80.40	45.03	-92.66	170.85
r3:	495.20	113.62	501.65	304.79	705.12
