station, lon_dec, lat_dec, z1, z2
WT055a, 424900.88856254175, 5713518.36755008, 357.98, -598.21
WT059b, 418042.65955837484, 5726714.0145283025, 311.24, -521.2499999999999
WT106a, 420809.36874331767, 5723210.026575915, 258.0, -196.96999999999997
WT043a, 417527.3964747786, 5723178.361438779, 351.48, 38.22000000000003
WT501a, 416695.37487370445, 5725569.989406463, 236.69, -168.14999999999998
WT080a, 423447.00551834726, 5713222.7443888, 139.97999999999996, -752.37
WT192a, 418899.91882862686, 5711697.123427248, -181.31, -961.6899999999998
WT038a, 417323.68281692045, 5724450.963565607, 356.72, -12.149999999999977
WT311a, 421399.09714798693, 5718721.562071732, 372.86, -242.18
WT184a, 425022.44574075245, 5721293.171024469, 24.480000000000075, -524.41
WT307a, 422564.22878970415, 5715694.921644494, 420.34999999999997, -288.5
WT079a, 418963.044575009, 5724498.612145093, 402.35, 21.859999999999957
WT096a, 419977.74756649544, 5723418.144809071, 292.42, -100.48000000000002
WT223a, 419369.86193319806, 5722240.650206261, 429.30999999999995, -155.14999999999998
WT331a, 416556.7666370071, 5724943.618714452, 249.08999999999997, -191.48000000000002
WT080b, 423448.5152840876, 5713219.429537556, 208.97000000000003, -694.8799999999999
WT063a, 418230.0083986072, 5727179.267829094, 82.20999999999998, -322.58000000000004
WT126a, 421766.6902898995, 5722365.26510995, 227.60000000000002, -178.26999999999998
WT034a, 417014.3388896448, 5721061.102207436, 239.18, 212.84000000000003
WT171a, 426750.0943166437, 5719387.542448893, 199.94, -465.28999999999996
WT188a, 426900.6761508346, 5725701.584413176, -583.61, -1055.48
WT022a, 416478.29283824674, 5721766.670359769, 203.91000000000003, 58.5
WT167a, 423609.8842305107, 5721431.149195713, -49.57999999999993, -495.8599999999999
WT219a, 431413.66070008645, 5720669.710242904, -294.28, -269.27
WT130a, 421834.9097499251, 5723273.843341718, 214.69999999999996, -501.9100000000001
WT189a, 425787.6080541087, 5724142.321237523, -430.11999999999995, -939.03
WT023a, 416527.5007347459, 5724269.778592169, 317.62, -119.58000000000004
WT166a, 423564.6035377362, 5717176.26690349, 441.86, -4.2099999999999795
WT035a, 417090.94566452026, 5722130.966816045, 345.51, 113.41999999999996
WT062a, 418223.337731999, 5721333.163256973, 395.66999999999996, 22.00999999999999
WT127a, 421913.3165230606, 5721264.910661163, 344.12, -388.76000000000005
WT330a, 420061.88707961026, 5719381.247401742, -123.00999999999993, -399.73999999999995
WT150b, 424981.5270303041, 5726290.841385427, -212.51, -520.4699999999999
WT222a, 418589.09549491724, 5721752.075858509, 428.28000000000003, 329.3
WT058a, 418078.54296662676, 5720577.239405631, 81.67999999999995, -22.150000000000034
WT326a, 421982.8254206283, 5712320.470447573, -387.74, -1097.44
WT214a, 430675.6710853696, 5721294.3383557275, -263.23, -354.56999999999994
WT078a, 419137.5307340962, 5720260.097739688, 234.66000000000003, -323.31999999999994
WT306a, 419638.5556917716, 5712523.987224832, -390.58000000000004, -1033.3700000000001
WT185a, 425033.4560134463, 5718834.572991657, 161.13, -667.51
WT310a, 423196.5359737737, 5719323.26449497, 339.05, -40.18000000000001
WT170b, 426311.3839298633, 5713571.611112379, 357.48999999999995, -519.1700000000001
WT193a, 426179.94199083233, 5720595.041650703, 44.150000000000034, -542.96
