station, lon_dec, lat_dec, z1, z2
WT021b, 416309.9457384515, 5725283.631047899, 133.56, -443.82000000000005
WT021c, 416320.5414163683, 5725286.183551177, 95.74000000000001, -538.3399999999999
WT023a, 416527.5007347459, 5724269.778592169, 273.59999999999997, -343.80000000000007
WT040a, 425519.58056929434, 5719179.7172773015, 226.74999999999997, -742.7099999999999
WT051a, 425695.6297954181, 5714370.2573346775, 458.50000000000006, -522.51
WT055a, 424900.88856254175, 5713518.36755008, 260.56, -647.1400000000001
WT056a, 424599.4762201141, 5716807.023178402, 346.38, -470.57000000000005
WT057b, 428450.8830963054, 5720394.330675009, 147.27000000000004, -561.28
WT059b, 418042.65955837484, 5726714.0145283025, 393.06000000000006, -511.90999999999997
WT076b, 418853.2311454223, 5726551.265029523, 306.17, -349.15000000000003
WT078a, 419137.5307340962, 5720260.097739688, 217.07000000000002, -645.0400000000001
WT080a, 423447.00551834726, 5713222.7443888, 48.65999999999997, -816.7100000000002
WT080b, 423448.5152840876, 5713219.429537556, 96.09000000000003, -755.3499999999999
WT085a, 419239.59644942026, 5723167.560380405, 393.87, -253.0300000000001
WT095a, 419833.1389508149, 5722449.405394497, 374.34, -478.14
WT101a, 422172.657549318, 5713450.879742358, -46.56, -927.9300000000001
WT101b, 422174.2080297993, 5713443.459279851, -52.47000000000003, -921.0900000000001
WT112a, 420920.08427514497, 5719038.998017163, 351.40999999999997, -587.4200000000001
WT114a, 420979.2672219987, 5724812.899682647, 312.77000000000004, -327.56999999999994
WT115a, 421004.3574520075, 5723666.745827169, 152.99, -727.24
WT122a, 421401.8809422552, 5722582.084536816, 236.07999999999998, -695.19
WT125a, 421623.0462227682, 5720056.174809831, 357.91999999999996, -199.35000000000008
WT128a, 422029.1053008395, 5719310.050928636, 359.71999999999997, -547.5600000000001
WT130a, 421834.9097499251, 5723273.843341718, 188.06999999999996, -748.6200000000001
WT132b, 422376.8900764276, 5720674.146721093, 243.93999999999997, -380.57000000000005
WT136a, 423021.10183071997, 5712316.043133467, -23.66999999999996, -979.4399999999999
WT138a, 422596.8311825538, 5718857.573287847, 428.06, -41.700000000000045
WT140a, 422418.10218355595, 5723901.892106288, -93.97000000000003, -724.6499999999999
WT142a, 423725.81663936307, 5719745.398098056, 166.89999999999998, -682.8300000000002
WT143a, 423528.8597195213, 5713977.965759912, 16.340000000000032, -806.77
WT155a, 423923.44012065954, 5718820.620769076, 333.78, -256.4200000000001
WT164a, 423903.1171004619, 5724120.263904811, -70.87, -685.1600000000001
WT166a, 423564.6035377362, 5717176.26690349, 440.13, -38.55000000000001
WT168a, 424494.97024128016, 5718281.706796082, 370.11999999999995, -324.6500000000001
WT170b, 426311.3839298633, 5713571.611112379, 330.2199999999999, -588.6200000000001
WT178a, 421128.1781354565, 5711767.578086023, -78.09000000000003, -1014.1500000000001
WT179a, 425105.7156394623, 5724960.29053219, -124.0, -994.9
WT180a, 424726.414675673, 5720156.640818603, 123.10000000000002, -567.8900000000001
WT184a, 425022.44574075245, 5721293.171024469, 0.82000000000005, -727.4399999999999
WT185a, 425033.4560134463, 5718834.572991657, 95.19, -711.1099999999999
WT186a, 425824.0478431606, 5722168.832189021, -28.329999999999984, -740.6700000000001
WT189a, 425787.6080541087, 5724142.321237523, -108.88999999999999, -879.9100000000001
WT191a, 425647.7252490042, 5722776.009855881, -34.40999999999997, -715.88
WT192a, 418899.91882862686, 5711697.123427247, -137.36, -1020.1600000000001
WT193a, 426179.94199083233, 5720595.041650704, 58.79000000000002, -689.76
WT194a, 426099.95768412045, 5723360.947526087, -47.450000000000045, -869.9200000000001
WT195a, 426172.15786581964, 5721436.506163796, 14.239999999999952, -704.76
WT199a, 421964.6920775729, 5715253.1456790045, 401.71, -166.49
WT200a, 426803.35702943587, 5723123.943628385, -59.60999999999996, -843.47
WT201a, 427805.14602088474, 5720810.889608077, 151.08999999999997, -475.0499999999999
WT202a, 427887.3378246183, 5721720.416293023, 136.08000000000004, -795.61
WT205a, 422100.84921656875, 5716615.857682192, 398.52000000000004, -598.63
WT206b, 429133.1173915716, 5720788.279993847, 67.97000000000003, -474.99000000000007
WT210a, 428647.2462692418, 5717197.862722657, 254.1, -361.4900000000001
WT302a, 423150.8635117621, 5714362.086887138, 387.14, -589.69
WT303a, 423043.03901345684, 5715047.006083007, 436.14000000000004, -512.96
WT304a, 422377.90910887305, 5714218.640568461, 260.45000000000005, -671.8299999999999
WT305a, 421200.14601970225, 5713479.822965829, -79.53000000000003, -957.0899999999999
WT307a, 422564.22878970415, 5715694.921644494, 418.63, -347.21000000000004
WT313a, 426142.1828405375, 5720105.728214035, 93.82999999999998, -489.22999999999996
WT316a, 426182.50114003837, 5719020.968470108, 91.89999999999998, -452.28
WT323a, 421580.5015205168, 5714556.750536166, -64.25, -754.5099999999999
WT326a, 421982.8254206283, 5712320.470447573, -59.99000000000001, -983.4299999999998
WT328a, 420791.49132952845, 5713746.447436435, -96.88999999999999, -1005.3300000000002
WT331a, 416556.7666370071, 5724943.618714452, 212.80999999999995, -406.72
WT335a, 421134.6169516915, 5724236.462009499, 373.66, -619.6199999999999
WT337a, 424179.49810511793, 5720629.885960788, 90.37, -754.8300000000002
WT339a, 421931.1358739659, 5715740.237206888, 410.15000000000003, -582.3699999999999
WT340a, 422169.4036840069, 5715162.702919299, 393.78000000000003, -206.49
WT341a, 422173.4191462171, 5714609.400107148, -15.850000000000023, -858.46
WT503a, 416585.1794726154, 5725115.933413992, 216.27000000000004, -342.78
WT504a, 416715.53684101545, 5724512.788457152, 260.57000000000005, -346.26
WT506a, 418770.4671492092, 5724575.895269118, 424.39, -25.889999999999986
WT508a, 419859.6784161895, 5725226.573337107, 193.47, -345.9699999999999
WT513a, 419319.6550309393, 5725419.679706778, 364.18, -339.9
