station, lon_dec, lat_dec, z1, z2
WT055a, 424900.88856254175, 5713518.36755008, 384.59000000000003, -474.98
WT059b, 418042.65955837484, 5726714.0145283025, 386.38000000000005, -249.55999999999995
WT106a, 420809.36874331767, 5723210.026575915, 283.82, -40.329999999999984
WT043a, 417527.3964747786, 5723178.361438779, 385.38, 188.88
WT501a, 416695.37487370445, 5725569.989406463, 307.72, 11.850000000000023
WT080a, 423447.00551834726, 5713222.7443888, 222.21999999999997, -520.05
WT192a, 418899.91882862686, 5711697.123427248, 6.78000000000003, -669.4499999999998
WT038a, 417323.68281692045, 5724450.963565607, 392.38, 157.17000000000007
WT311a, 421399.09714798693, 5718721.562071732, 384.92, -42.889999999999986
WT184a, 425022.44574075245, 5721293.171024469, 146.11000000000007, -36.77999999999986
WT307a, 422564.22878970415, 5715694.921644494, 422.81, -232.17000000000007
WT079a, 418963.044575009, 5724498.612145093, 403.89, 70.04999999999995
WT096a, 419977.74756649544, 5723418.144809071, 309.36, 17.829999999999984
WT223a, 419369.86193319806, 5722240.650206261, 439.65, 126.12
WT331a, 416556.7666370071, 5724943.618714452, 306.15, -6.0
WT080b, 423448.5152840876, 5713219.429537556, 288.55000000000007, -376.4
WT063a, 418230.0083986072, 5727179.267829094, 354.94, 98.84999999999997
WT126a, 421766.6902898995, 5722365.26510995, 271.0, 166.08
WT034a, 417014.3388896448, 5721061.102207436, 341.95000000000005, 248.65000000000003
WT171a, 426750.0943166437, 5719387.542448893, 246.69000000000003, -180.99
WT188a, 426900.6761508346, 5725701.584413176, -282.97, -658.62
WT022a, 416478.29283824674, 5721766.670359769, 341.03999999999996, 202.73000000000002
WT167a, 423609.8842305107, 5721431.149195713, 95.98000000000008, -189.82999999999993
WT219a, 431413.66070008645, 5720669.710242904, 107.80999999999997, -222.60000000000002
WT130a, 421834.9097499251, 5723273.843341718, 262.9, -90.71000000000004
WT189a, 425787.6080541087, 5724142.321237523, -231.60999999999996, -659.75
WT023a, 416527.5007347459, 5724269.778592169, 368.59, 124.13
WT166a, 423564.6035377362, 5717176.26690349, 444.0, 47.25999999999999
WT035a, 417090.94566452026, 5722130.966816045, 375.5, 246.39999999999998
WT062a, 418223.337731999, 5721333.163256973, 422.28, 249.52999999999997
WT127a, 421913.3165230606, 5721264.910661163, 359.44, -170.68
WT330a, 420061.88707961026, 5719381.247401742, 110.19, -118.17000000000002
WT150b, 424981.5270303041, 5726290.841385427, 29.189999999999998, -279.8699999999999
WT222a, 418589.09549491724, 5721752.075858509, 434.84000000000003, 356.17
WT058a, 418078.54296662676, 5720577.239405631, 227.97999999999996, 82.00999999999993
WT326a, 421982.8254206283, 5712320.470447573, -196.01999999999998, -714.52
WT214a, 430675.6710853696, 5721294.3383557275, 2.830000000000041, -229.36
WT078a, 419137.5307340962, 5720260.097739688, 284.07000000000005, -130.66999999999996
WT306a, 419638.5556917716, 5712523.987224832, -130.39, -643.4300000000001
WT185a, 425033.4560134463, 5718834.572991657, 221.18999999999997, -399.90999999999997
WT310a, 423196.5359737737, 5719323.26449497, 357.2, 95.5
WT170b, 426311.3839298633, 5713571.611112379, 392.38, -312.01
WT193a, 426179.94199083233, 5720595.041650703, 154.10000000000002, -256.2
WT500a, 417166.281414958, 5725635.034568432, 398.18999999999994, 147.42999999999995
WT015a, 415713.40578979836, 5723941.2759529315, 216.02000000000004, -4.789999999999964
WT107a, 420288.4945273645, 5721501.324470578, 363.03000000000003, 212.76000000000002
WT042a, 417297.07751977426, 5720322.025766632, 322.62, 246.12999999999997
WT111a, 420854.20343966363, 5720347.894008017, 360.01, 145.85
WT054a, 417903.56668023265, 5719966.939193386, 237.31, 125.28000000000003
WT053b, 417672.2803910723, 5726266.960184631, 443.81, 335.11
WT337a, 424179.49810511793, 5720629.885960788, 229.08, -325.71000000000004
WT069b, 418541.4302990421, 5726145.79731738, 408.28000000000003, 31.260000000000048
WT120a, 421714.97318336123, 5725938.239801815, -36.41999999999996, -361.9999999999999
WT198a, 427174.4553047843, 5722546.82054926, -53.120000000000005, -444.17
WT177a, 424817.7259083348, 5722009.266805085, -112.03999999999996, -448.26
WT024a, 415250.78240086115, 5726520.657834566, 272.15, 84.36999999999995
WT073a, 418917.12141554017, 5719661.346472516, 101.58999999999997, -103.08999999999997
WT136a, 423021.10183071997, 5712316.043133467, -10.729999999999961, -556.62
WT511a, 418521.8875147971, 5725380.734021759, 425.91999999999996, 160.60999999999996
WT004a, 414227.88827162154, 5725475.41439965, 221.51, 47.129999999999995
WT116a, 422167.8100275588, 5726630.387563543, -181.42000000000007, -438.70000000000005
WT045a, 417835.0409770012, 5729708.299409322, 155.70999999999998, -93.00999999999999
WT507a, 419197.2420002198, 5724368.697779462, 391.45, 156.05999999999997
WT086a, 424691.641989802, 5714546.714772602, 432.12000000000006, 259.46000000000004
WT205a, 422100.84921656875, 5716615.857682192, 401.69000000000005, 224.34
WT340a, 422169.4036840069, 5715162.702919299, 400.62, -150.69000000000005
WT194a, 426099.95768412045, 5723360.947526088, 11.589999999999975, -378.1500000000001
WT028a, 423808.85129607935, 5715637.560437749, 457.91, 272.55
WT182a, 424553.568309789, 5711941.627425498, -242.42999999999995, -655.86
WT090a, 429358.84845218447, 5717653.322449641, 66.13999999999999, -299.14
WT091a, 419600.9114035727, 5720765.962158897, 348.37, 178.11
WT183a, 425087.68617525534, 5723197.369954718, -158.14, -552.6800000000001
WT033b, 416912.60538977507, 5725328.429429545, 466.35, 249.25000000000006
WT316a, 426182.50114003837, 5719020.968470109, 224.67000000000002, -352.99
WT195a, 426172.15786581964, 5721436.506163796, 89.38, -354.47999999999996
WT064b, 417963.5537014541, 5725580.332867368, 442.28000000000003, 325.73
WT204a, 429083.065528035, 5718451.456909249, 155.10999999999996, -380.93000000000006
WT341a, 422173.4191462171, 5714609.400107148, 294.53, -318.7699999999999
WT068a, 418547.799184219, 5723292.155486784, 462.87, 344.09000000000003
WT087a, 419475.66298345174, 5721631.334258571, 374.59999999999997, 207.43
WT156a, 423201.17699058115, 5716177.96232528, 376.12, 152.7
WT506a, 418770.4671492092, 5724575.895269118, 423.02, 105.53999999999996
WT064c, 418013.68741234735, 5725556.764919621, 469.79999999999995, 351.93
WT101a, 422172.657549318, 5713450.879742358, 119.92999999999995, -391.99
WT033c, 416912.92612338834, 5725297.580543356, 486.67, 196.98000000000002
WT044a, 417646.1578237646, 5724999.312238906, 394.40999999999997, 211.99
WT052a, 426926.6277175017, 5718750.379121295, 190.20000000000005, -242.37
WT140a, 422418.10218355595, 5723901.892106288, 85.75, -302.45000000000005
WT072a, 418850.0245251635, 5725083.210002049, 397.95000000000005, 24.480000000000018
WT160a, 423866.97942687076, 5722204.010516369, 86.0, -255.98000000000002
WT336a, 422973.72995811887, 5725059.878490763, -33.349999999999966, -261.47
WT048a, 417973.78472053783, 5722235.972688958, 419.0, 285.91
WT101b, 422174.2080297993, 5713443.459279851, 104.27999999999997, -484.4200000000001
WT224a, 419982.13802490523, 5720254.074910512, 323.36, 223.56
WT117b, 421128.3386349576, 5721813.970223306, 309.27, -53.210000000000036
WT134a, 427951.98631463083, 5718763.704039935, 264.53999999999996, -149.90999999999997
WT071a, 418273.56301598554, 5723653.365081419, 437.40999999999997, 132.7
WT175a, 425190.47243384476, 5722548.231796349, -94.14999999999998, -493.01
WT088a, 423603.1824257602, 5723241.236726326, -56.870000000000005, -296.47
WT122a, 421401.8809422552, 5722582.084536816, 288.83, -253.77999999999992
WT159a, 423256.27660464094, 5717834.8459310075, 423.95, 94.14999999999998
WT118a, 420718.90333981003, 5726678.742099915, -40.379999999999995, -279.13999999999993
WT211a, 430332.2825291006, 5717380.786847238, 120.25999999999999, -44.24000000000001
WT092a, 419923.2144412269, 5719354.220228686, 168.18, -18.110000000000014
WT138a, 422596.8311825538, 5718857.573287847, 382.67, -178.6500000000001
WT303a, 423043.03901345684, 5715047.006083007, 459.26000000000005, -132.42999999999995
WT315a, 427396.41374434915, 5718241.735460392, 278.45000000000005, -127.75999999999999
