station, lon_dec, lat_dec, z1, z2
WT004a, 414227.88827162154, 5725475.41439965, -26.00999999999999, -69.06999999999994
WT006a, 414710.958419121, 5723975.027679253, 83.19999999999999, -128.04999999999995
WT010a, 414852.5341298247, 5721899.317892801, -100.84999999999991, -44.25999999999999
WT011a, 414914.5163812285, 5723180.249203225, 91.11000000000001, -129.16999999999996
WT015a, 415713.40578979836, 5723941.2759529315, 38.09000000000003, -335.66999999999996
WT016a, 415586.4008563447, 5725794.850943075, 100.18999999999994, -279.66999999999996
WT017a, 416044.2335136613, 5722374.394124571, 179.53999999999996, -119.78000000000009
WT020a, 416252.18911365676, 5722853.4589398755, 369.70000000000005, -1.2100000000000364
WT021b, 416309.9457384515, 5725283.631047899, 160.61, -383.2900000000001
WT021c, 416320.5414163683, 5725286.183551177, 127.17000000000002, -434.73
WT022a, 416478.29283824674, 5721766.670359769, 125.86000000000001, -182.73000000000002
WT023a, 416527.5007347459, 5724269.778592169, 301.25, -232.22000000000003
WT026a, 415814.0206580988, 5720567.319423466, 49.370000000000005, 124.67999999999995
WT027a, 416604.7695063278, 5722381.156622421, 323.39, 55.29000000000002
WT028a, 423808.85129607935, 5715637.560437749, 439.34000000000003, -267.75
WT033b, 416912.60538977507, 5725328.429429545, 456.04, 158.89000000000004
WT033c, 416912.92612338834, 5725297.580543356, 475.31, 155.3
WT034a, 417014.3388896448, 5721061.102207436, 134.14000000000004, 93.84000000000003
WT035a, 417090.94566452026, 5722130.966816045, 337.76, 41.620000000000005
WT036a, 422326.42990259064, 5718260.876544533, 394.10999999999996, 191.21999999999997
WT037b, 416969.90404840733, 5726803.159787179, 180.90000000000003, 95.19000000000005
WT038a, 417323.68281692045, 5724450.963565607, 338.90000000000003, -39.64999999999998
WT040a, 425519.58056929434, 5719179.7172773015, 136.23999999999995, -577.84
WT041a, 417321.5521903331, 5723655.885943976, 329.28, -40.5
WT042a, 417297.07751977426, 5720322.025766632, 206.54999999999995, 110.19
WT043a, 417527.3964747786, 5723178.361438779, 337.83000000000004, 14.720000000000027
WT044a, 417646.1578237646, 5724999.312238906, 338.4, 42.5
WT046a, 417297.1864903951, 5721613.055272508, 163.01, 5.269999999999982
WT047a, 417424.75452241965, 5719520.852034482, 18.689999999999998, -115.07
WT048a, 417973.78472053783, 5722235.972688958, 410.93, 233.51999999999998
WT050a, 417737.99196787365, 5721063.600174464, 19.999999999999943, -132.97000000000003
WT051a, 425695.6297954181, 5714370.2573346775, 462.6, -505.03999999999996
WT052a, 426926.6277175017, 5718750.379121295, 163.65000000000003, -154.71000000000004
WT053b, 417672.28039107233, 5726266.960184631, 427.08, 102.26999999999998
WT054a, 417903.5666802326, 5719966.939193386, 38.56, -71.72999999999996
WT055a, 424900.88856254175, 5713518.36755008, 306.28, -633.21
WT056a, 424599.4762201141, 5716807.023178402, 352.43, -405.24
WT057b, 428450.8830963054, 5720394.330675009, 158.23000000000002, -494.28
WT058a, 418078.54296662676, 5720577.23940563, -17.08000000000004, -189.09000000000015
WT059b, 418042.65955837484, 5726714.0145283025, 352.58000000000004, -275.64
WT060a, 417729.7667845536, 5724210.446679728, 304.64, -47.98000000000002
WT062a, 418223.337731999, 5721333.163256973, 377.91999999999996, 82.00999999999993
WT063a, 418230.0083986072, 5727179.267829094, 178.55, -19.939999999999998
WT064b, 417963.5537014541, 5725580.332867368, 411.36, 211.68
WT064c, 418013.68741234735, 5725556.764919621, 436.0, 207.56
WT066a, 417537.02965672145, 5718877.663347608, -135.85000000000002, -158.94000000000005
WT068a, 418547.79918421904, 5723292.155486784, 431.62, 197.49
WT069b, 418541.4302990421, 5726145.79731738, 396.19000000000005, 40.83000000000004
WT070a, 418766.4710317815, 5722734.826927522, 455.9, 268.21999999999997
WT070b, 418760.49410809786, 5722731.991644749, 442.53999999999996, 248.64999999999998
WT071a, 418273.56301598554, 5723653.365081419, 395.84, 15.069999999999993
WT072a, 418850.0245251635, 5725083.210002049, 375.91, -16.829999999999984
WT073a, 418917.1214155401, 5719661.346472516, -156.76000000000005, -351.07
WT076b, 418853.2311454223, 5726551.265029523, 339.58, 75.96999999999997
WT077a, 418976.15931900364, 5720993.365385154, 334.33, 101.51999999999998
WT078a, 419137.5307340962, 5720260.097739688, 222.72000000000003, -509.17999999999995
WT079a, 418963.044575009, 5724498.612145093, 401.75, 20.44999999999999
WT080a, 423447.00551834726, 5713222.7443888, 114.42999999999995, -797.2500000000001
WT080b, 423448.5152840876, 5713219.429537556, 195.77000000000004, -729.6700000000001
WT082a, 419299.93148573465, 5724975.900052427, 392.03000000000003, -68.78999999999996
WT083b, 419213.8963082337, 5726166.16107949, 325.32000000000005, 106.07
WT084a, 419085.4367692604, 5724070.1435042545, 425.05, 59.00999999999999
