Par	mean	std	median	perc5	perc95
z1:	379.03	230.94	382.55	-23.71	747.14
z2:	332.12	305.30	187.10	 4.46	906.04
r1:	255.53	134.74	284.96	32.40	445.88
r2:	46.75	75.86	17.16	-92.66	170.85
r3:	1520.02	1423.52	654.34	312.68	4332.79
