Par	mean	std	median	perc5	perc95
z1:	136.97	99.96	101.87	-23.71	338.88
z2:	494.25	438.11	273.08	-10.77	995.65
r1:	126.44	92.94	102.27	30.39	333.47
r2:	40.27	79.01	 1.26	-92.66	170.85
r3:	314.12	213.81	312.68	100.42	654.34
