Par	mean	std	median	perc5	perc95
z1:	433.17	287.26	376.53	-23.71	833.92
z2:	466.43	397.62	379.75	-10.77	981.71
r1:	133.71	93.19	114.89	30.39	333.47
r2:	40.98	78.74	 1.59	-92.66	170.85
r3:	302.57	211.53	170.59	100.54	654.34
