Par	mean	std	median	perc5	perc95
z1:	552.93	375.12	653.80	 4.20	986.18
z2:	458.19	384.44	351.00	 4.46	977.14
r1:	198.71	102.37	216.02	32.40	355.46
r2:	45.35	76.65	 9.20	-92.66	170.85
r3:	292.52	207.09	116.93	100.33	627.85
