Par	mean	std	median	perc5	perc95
z1:	563.81	396.30	649.30	 5.67	992.66
z2:	102.05	68.30	107.47	-10.77	187.10
r1:	324.59	196.82	395.45	32.40	590.44
r2:	52.34	72.89	19.73	-92.66	170.85
r3:	381.48	135.32	322.86	235.31	627.85
