69984    71526
69980    71582
69965    71577
69955    71581
69940    71586
69925    71586
69900    71601
69890    71611
69865    71626
69840    71636
69830    71641
69810    71646
69790    71656
69739    71666
69729    71671
69709    71676
69674    71686
69649    71696
69639    71701
69619    71701
69599    71701
69584    71696
69559    71695
69544    71690
69519    71690
69499    71690
69484    71685
69454    71680
69439    71675
69424    71670
69409    71670
69399    71665
69389    71660
69359    71640
69349    71630
69339    71620
69304    71580
69294    71565
69289    71550
69289    71535
69284    71525
69284    71510
69289    71490
69294    71475
69304    71460
69324    71435
69334    71430
69339    71405
69339    71385
69329    71365
69309    71355
69294    71345
69279    71335
69274    71315
69269    71305
69264    71285
69234    71255
69224    71245
69199    71225
69174    71215
69169    71205
69144    71195
69129    71180
69114    71170
69104    71175
69098    71180
69078    71189
69053    71214
69033    71224
69018    71234
69003    71239
68978    71249
68973    71259
68958    71269
68943    71279
68923    71294
68898    71304
68878    71319
68873    71334
68868    71349
68863    71364
68863    71379
68868    71409
68868    71429
68863    71444
68868    71474
68873    71494
68878    71504
68883    71519
68888    71529
68893    71544
68893    71559
68898    71569
68898    71584
68893    71614
68893    71629
68883    71659
68883    71674
68878    71699
68873    71724
68863    71754
68863    71769
68858    71809
68843    71839
68822    71854
68817    71864
68812    71874
68792    71899
68787    71914
68792    71934
68787    71948
68792    71958
68797    71969
68802    71984
68807    72004
68812    72029
68817    72039
68827    72059
68832    72074
68837    72089
68847    72099
68852    72119
68857    72129
68867    72149
68872    72159
68902    72189
68917    72199
68937    72214
68942    72224
68958    72239
68973    72254
68983    72269
68988    72279
69003    72309
69023    72344
69023    72364
69033    72384
69038    72414
69038    72429
69038    72449
69033    72464
69032    72474
69022    72499
69017    72519
69007    72539
69002    72549
68997    72559
68992    72579
68982    72594
68972    72604
68962    72614
68957    72624
68947    72634
68932    72629
68922    72634
68902    72644
68887    72659
68867    72668
68852    72678
68832    72683
68822    72688
68807    72693
68792    72698
68777    72703
68757    72708
68742    72713
68727    72723
68712    72723
68692    72728
68677    72728
68662    72728
68652    72723
68642    72718
68632    72708
68616    72698
68606    72688
68596    72678
68586    72673
68566    72668
68551    72663
68541    72658
68526    72653
68501    72653
68486    72653
68476    72657
68461    72662
68436    72667
68416    72672
68396    72677
68371    72682
68356    72692
68336    72697
68316    72702
68276    72712
68241    72722
68231    72727
68216    72727
68201    72732
68176    72737
68151    72747
68135    72752
68100    72757
68080    72761
68050    72761
68040    72766
68025    72766
68000    72761
67970    72766
67950    72766
67935    72766
67880    72766
67840    72776
67820    72776
67795    72776
67780    72776
67775    72786
67735    72781
67644    72790
67614    72790
67594    72785
67584    72790
67569    72790
67504    72790
67494    72805
67484    72820
67479    72850
67484    72865
67479    72880
67479    72900
67479    72915
67474    72930
67464    72945
67444    72980
67439    73000
67419    73035
67419    73050
67409    73060
67399    73085
67394    73100
67384    73120
67374    73150
67369    73165
67364    73190
67349    73220
67349    73245
67344    73264
67338    73269
67308    73304
67293    73324
67283    73344
67278    73354
67273    73369
67253    73409
67238    73414
67198    73449
67173    73469
67158    73479
67133    73504
67118    73519
67103    73524
67073    73544
67053    73559
67043    73569
67033    73584
67023    73594
67018    73604
67018    73624
67043    73639
67053    73644
67063    73649
67078    73654
67093    73664
67103    73674
67113    73684
67123    73699
67133    73719
67138    73734
67153    73754
67158    73774
67163    73784
67163    73799
67168    73809
67183    73824
67188    73839
67198    73849
67208    73859
67223    73874
67238    73879
67263    73874
67288    73874
67303    73879
67313    73884
67333    73894
67343    73909
67363    73934
67373    73944
67383    73954
67398    73974
67413    73989
67428    74009
67448    74025
67458    74035
67473    74055
67493    74075
67513    74095
67528    74115
67553    74150
67568    74165
67578    74180
67603    74200
67613    74215
67633    74235
67658    74255
67674    74275
67684    74295
67704    74340
67714    74360
67719    74380
67729    74395
67734    74405
67744    74415
67754    74435
67764    74450
67764    74470
67769    74500
67779    74530
67784    74550
67789    74570
67799    74595
67804    74620
67814    74645
67824    74680
67834    74710
67839    74725
67849    74745
67859    74755
67864    74770
67869    74780
67879    74795
67889    74805
67894    74825
67899    74835
67904    74845
67909    74855
67914    74865
67924    74885
67939    74900
67949    74910
67954    74920
67969    74921
67979    74926
67989    74936
68004    74936
68009    74946
68019    74956
68029    74966
68039    74976
68044    74986
68039    74996
