Par	mean	std	median	perc5	perc95
z1:	156.71	93.92	152.46	-23.71	338.88
z2:	313.15	286.23	203.20	-10.77	862.53
r1:	153.52	94.41	147.70	30.39	347.41
r2:	43.71	77.02	 7.26	-92.66	170.85
r3:	1470.93	1425.46	627.85	312.68	4569.73
