Par	mean	std	median	perc5	perc95
z1:	289.81	184.27	285.33	-23.71	637.82
z2:	304.55	290.29	179.19	 4.46	910.89
r1:	177.87	95.07	182.43	32.40	355.46
r2:	46.39	76.35	17.53	-92.66	170.85
r3:	1417.11	1330.18	654.34	312.68	4348.58
