Par	mean	std	median	perc5	perc95
z1:	201.80	101.37	206.33	 5.67	376.02
z2:	523.95	443.23	475.02	-10.77	998.10
r1:	118.63	85.98	102.72	30.39	265.53
r2:	40.92	78.21	 2.23	-92.66	170.85
r3:	305.59	214.43	279.72	100.21	627.85
