Par	mean	std	median	perc5	perc95
z1:	237.58	111.70	271.32	 5.67	376.02
z2:	518.76	443.91	333.15	-10.77	997.28
r1:	129.50	94.26	107.75	-7.92	355.46
r2:	40.72	78.58	 0.53	-92.66	170.85
r3:	298.12	208.83	131.47	100.54	627.85
