Par	mean	std	median	perc5	perc95
z1:	539.23	369.29	672.53	-23.71	982.49
z2:	131.34	89.26	137.27	-10.77	280.12
r1:	946.26	1195.83	428.71	32.40	3768.36
r2:	50.34	74.03	18.97	-92.66	170.85
r3:	481.36	316.16	439.24	203.96	822.40
