Par	mean	std	median	perc5	perc95
z1:	327.34	168.27	374.39	 5.67	557.75
z2:	332.45	301.46	189.58	 4.46	911.65
r1:	238.04	121.05	263.32	32.40	412.96
r2:	45.92	76.18	14.66	-92.66	170.85
r3:	1557.10	1443.40	654.34	352.83	4545.59
