Par	mean	std	median	perc5	perc95
z1:	533.63	360.72	376.53	 5.67	979.82
z2:	475.68	399.24	439.15	 4.46	981.02
r1:	146.88	94.12	141.37	-59.42	355.46
r2:	44.19	76.96	 6.14	-92.66	170.85
r3:	305.27	214.43	312.68	100.19	654.69
