Par	mean	std	median	perc5	perc95
z1:	150.59	102.75	133.91	-78.25	338.88
z2:	314.92	296.52	187.10	-10.77	883.20
r1:	119.95	89.52	107.18	-59.42	265.53
r2:	42.04	78.28	 8.88	-92.66	170.85
r3:	1512.25	1416.77	656.47	312.68	4471.15
