Par	mean	std	median	perc5	perc95
z1:	247.78	110.50	285.33	 4.20	376.02
z2:	506.95	423.38	419.30	 4.46	991.89
r1:	211.59	107.72	226.44	32.40	355.46
r2:	40.77	78.56	 1.49	-92.66	170.85
r3:	297.25	210.90	119.36	100.41	627.85
