station, lon_dec, lat_dec, z1, z2
WT004a, 414227.88827162154, 5725475.41439965, 187.48000000000002, 68.62
WT006a, 414710.958419121, 5723975.027679253, 178.73000000000002, -19.149999999999977
WT010a, 414852.5341298247, 5721899.317892801, 183.68000000000006, 40.34000000000003
WT011a, 414914.5163812285, 5723180.249203225, 215.78000000000003, 42.460000000000036
WT015a, 415713.40578979836, 5723941.2759529315, 180.17000000000007, -108.15999999999997
WT016a, 415586.4008563447, 5725794.850943075, 223.14999999999998, -106.38
WT017a, 416044.2335136613, 5722374.394124571, 277.84999999999997, 87.07999999999993
WT020a, 416252.18911365676, 5722853.4589398755, 397.02000000000004, 214.85000000000002
WT021b, 416309.9457384515, 5725283.631047899, 248.07000000000002, -144.99
WT021c, 416320.5414163683, 5725286.183551177, 227.69, -181.82999999999993
WT022a, 416478.29283824674, 5721766.670359769, 283.47, 154.17000000000002
WT023a, 416527.5007347459, 5724269.778592169, 357.35, 26.730000000000018
WT026a, 415814.0206580988, 5720567.319423466, 396.38, 236.33999999999997
WT027a, 416604.7695063278, 5722381.156622421, 361.77000000000004, 185.68000000000006
WT028a, 423808.85129607935, 5715637.560437749, 454.90000000000003, 255.03000000000003
WT033b, 416912.60538977507, 5725328.429429545, 463.65000000000003, 238.99
WT033c, 416912.92612338834, 5725297.580543356, 484.25, 190.81
WT034a, 417014.3388896448, 5721061.102207436, 306.48, 193.67000000000007
WT035a, 417090.94566452026, 5722130.966816045, 367.84999999999997, 193.13
WT036a, 422326.42990259064, 5718260.876544533, 396.60999999999996, 214.40999999999997
WT037b, 416969.90404840733, 5726803.159787179, 300.20000000000005, 225.32000000000005
WT038a, 417323.68281692045, 5724450.963565607, 374.24, 97.45000000000005
WT040a, 425519.58056929434, 5719179.7172773015, 196.57999999999998, -280.23
WT041a, 417321.5521903331, 5723655.885943976, 365.11, 66.77999999999997
WT042a, 417297.07751977426, 5720322.025766632, 304.66999999999996, 228.32
WT043a, 417527.3964747786, 5723178.361438779, 375.23, 150.13
WT044a, 417646.1578237646, 5724999.312238906, 371.63, 93.07999999999998
WT046a, 417297.1864903951, 5721613.055272508, 288.08, 173.91999999999996
WT047a, 417424.75452241965, 5719520.852034482, 190.38, 57.79000000000002
WT048a, 417973.78472053783, 5722235.972688958, 417.78, 274.78
WT050a, 417737.99196787365, 5721063.600174464, 204.17999999999995, 71.14999999999992
WT051a, 425695.6297954181, 5714370.2573346775, 476.46000000000004, -301.7099999999999
WT052a, 426926.6277175017, 5718750.379121295, 246.0, -23.42999999999995
WT053b, 417672.28039107233, 5726266.960184631, 439.83, 318.95
WT054a, 417903.5666802326, 5719966.939193386, 188.57999999999998, 80.58999999999997
WT055a, 424900.88856254175, 5713518.36755008, 372.98, -488.18999999999994
WT056a, 424599.4762201141, 5716807.023178402, 391.07000000000005, -158.24
WT057b, 428450.8830963054, 5720394.330675009, 191.81, -357.0
WT058a, 418078.54296662676, 5720577.23940563, 156.87999999999994, 4.3599999999999
WT059b, 418042.65955837484, 5726714.0145283025, 426.51000000000005, -43.68999999999994
WT060a, 417729.7667845536, 5724210.446679728, 360.4, 74.97999999999996
WT062a, 418223.337731999, 5721333.163256973, 411.71, 227.31999999999994
WT063a, 418230.0083986072, 5727179.267829094, 366.59999999999997, 284.75
WT064b, 417963.5537014541, 5725580.332867368, 435.69, 286.35
WT064c, 418013.68741234735, 5725556.764919621, 461.94, 309.21
WT066a, 417537.02965672145, 5718877.663347608, 117.19999999999999, -20.029999999999973
WT068a, 418547.79918421904, 5723292.155486784, 456.76, 309.0
WT069b, 418541.4302990421, 5726145.79731738, 404.06, 150.02000000000004
WT070a, 418766.4710317815, 5722734.826927522, 462.86999999999995, 293.26
WT070b, 418760.49410809786, 5722731.991644749, 454.52, 304.15
WT071a, 418273.56301598554, 5723653.365081419, 424.52, 169.93999999999994
WT072a, 418850.0245251635, 5725083.210002049, 388.31, 63.06999999999999
WT073a, 418917.1214155401, 5719661.346472516, 23.310000000000002, -246.01000000000005
WT076b, 418853.2311454223, 5726551.265029523, 369.28, 215.28
WT077a, 418976.15931900364, 5720993.365385154, 360.45, 171.2
WT078a, 419137.5307340962, 5720260.097739688, 277.38, -238.88
WT079a, 418963.044575009, 5724498.612145093, 403.33, 75.05000000000001
WT080a, 423447.00551834726, 5713222.7443888, 211.06, -588.41
