Par	mean	std	median	perc5	perc95
z1:	493.49	329.02	489.52	 5.67	947.45
z2:	257.38	236.75	187.10	 4.46	768.78
r1:	402.73	302.01	402.69	32.40	898.24
r2:	51.01	73.37	19.00	-92.66	170.85
r3:	1203.17	1302.95	563.02	244.91	4336.88
