Par	mean	std	median	perc5	perc95
z1:	141.62	105.70	104.67	-78.25	340.46
z2:	481.29	439.91	235.01	-10.77	998.03
r1:	124.51	97.20	103.15	-59.42	333.47
r2:	40.53	79.34	 1.15	-92.66	170.85
r3:	330.00	220.17	352.88	100.41	661.34
