Par	mean	std	median	perc5	perc95
z1:	399.79	242.63	376.53	-23.71	754.14
z2:	502.25	401.92	617.11	 4.46	988.55
r1:	183.90	94.07	198.11	32.40	333.47
r2:	42.39	77.81	 6.79	-92.66	170.85
r3:	287.83	210.66	109.69	100.37	654.34
