Par	mean	std	median	perc5	perc95
z1:	540.51	387.24	376.53	-23.71	991.74
z2:	475.93	405.83	293.75	 4.46	989.90
r1:	180.90	96.02	186.63	32.40	355.46
r2:	40.21	79.46	 1.36	-92.66	170.85
r3:	327.37	242.64	312.68	100.79	705.12
