Par	mean	std	median	perc5	perc95
z1:	420.08	289.74	370.46	 5.67	915.79
z2:	272.49	273.29	158.47	-10.77	889.92
r1:	204.96	119.90	218.23	32.40	413.89
r2:	50.97	73.91	19.55	-92.66	170.85
r3:	315.98	209.15	352.88	100.29	654.34
