X	Y
175.2206545	-38.60845697
174.92643	-38.96590452
175.4726875	-39.4867915
172.649744	-40.66748697
170.338617	-45.32740103
169.1411175	-44.707295
175.663961	-40.1893225
170.3849346	-44.94780548
175.7636175	-38.091743
168.145106	-46.1565055
168.3978745	-46.3862225
169.327996	-45.550609
170.0762785	-45.090997
170.4266207	-45.85133451
170.2428459	-45.52936595
169.3833495	-46.0671985
169.520241	-44.70124651
169.6587995	-44.401284
170.0397054	-44.27601946
170.4759925	-44.706418
168.1121935	-46.1265315
168.526239	-46.300147
169.6232095	-46.2498845
172.423076	-43.551774
168.7098635	-45.9247825
172.38384	-43.52759441
169.549939	-46.24938498
169.286792	-45.397955
169.3025295	-45.207042
169.828732	-45.061518
175.648841	-40.669251
168.3000975	-46.53925602
168.402603	-45.572622
169.4405555	-44.8820225
172.8880795	-41.73640602
170.6471725	-44.6433925
171.000024	-44.763219
171.3767105	-43.992103
175.3528825	-40.59365
175.4378485	-38.203999
170.090405	-45.9392305
175.760805	-39.1899495
168.440209	-44.95797254
171.199051	-44.3651075
170.2271405	-43.96102852
172.204888	-43.704215
175.725969	-39.323748
176.8049425	-38.16531896
171.9038705	-43.7143
176.2137334	-39.43858095
172.7195985	-42.776712
176.329633	-38.271693
175.3645175	-37.8039195
172.8886165	-41.978044
176.3339075	-38.27276196
173.313806	-42.0505845
176.542236	-38.57079949
175.7822125	-38.4091455
169.7076685	-45.0229445
174.0876335	-41.34097647
169.2913485	-45.663405
171.4530775	-43.8527305
175.8425375	-39.6251475
168.3680767	-46.12603753
175.755406	-38.393359
169.28708	-45.43930911
175.896906	-39.72816949
168.4020715	-46.44901999
175.165421	-37.9068955
177.168304	-38.79853849
169.341449	-45.63078151
175.405903	-37.833672
175.815635	-36.9180795
177.300301	-38.8358345
168.868733	-46.0944745
168.5483045	-46.29736551
169.7467115	-46.193415
170.236266	-45.594273
170.2839235	-44.416976
175.097855	-39.88647614
177.7024751	-37.73175792
169.177727	-45.159885
171.234611	-43.9626665
169.763706	-46.20060949
172.874194	-42.702337
176.0841195	-40.60922849
169.92456	-46.110355
174.521636	-36.2487145
175.416696	-36.49402169
172.567312	-43.1365875
168.312507	-46.00502724
172.916296	-41.8997795
177.152404	-38.8410515
169.261149	-46.263682
172.7035225	-41.7397435
168.2657695	-45.7813205
172.703928	-41.7401095
168.6881925	-46.478004
173.9014915	-41.49103647
167.7569856	-45.86520908
169.371005	-45.73061844
175.268101	-41.09409836
169.3950247	-46.10207899
175.3462455	-40.44589551
171.2017235	-44.23029051
168.1780052	-46.32979701
169.4448225	-46.051893
175.371957	-40.42432599
175.6882936	-40.2971566
175.8869425	-39.6854055
169.0718005	-46.087927
175.0234135	-37.030825
176.245062	-37.89311401
176.046474	-38.8874725
169.0358425	-46.00920247
170.6026322	-43.1553575
171.350755	-42.44154448
172.1120844	-43.71156252
172.6443345	-42.9532715
171.5973461	-42.53135309
173.001403	-42.99368002
173.0625349	-42.82480451
173.3443544	-42.42720803
171.9336925	-41.8842065
176.1719735	-38.6896365
169.060821	-46.0076165
175.040643	-37.042498
168.436256	-46.4886595
175.2914551	-38.91124696
175.235956	-38.863196
175.221559	-38.763633
175.335925	-37.53688445
168.438495	-46.47578149
174.7865251	-38.59558758
174.977572	-38.54653498
170.611647	-45.738659
169.3362865	-45.53689548
170.2930742	-45.83212597
176.091825	-38.61937651
170.6468	-45.5956085
170.1453805	-44.24579472
171.0090735	-44.902131
176.7974975	-38.32398444
174.6572615	-36.8804335
175.478929	-36.8327335
169.3508435	-44.877835
170.794073	-44.24886093
169.5264985	-45.98760643
171.8725208	-43.559019
172.676316	-43.190185
173.132467	-42.521552
169.507684	-45.7431455
175.2841055	-40.6730995
172.7808301	-42.87259098
171.4081785	-42.38277407
171.683732	-41.7533686
169.8978255	-44.309606
173.8986375	-41.5000905
173.0002745	-41.47651601
170.4107705	-45.849289
170.684109	-45.13364699
169.1067855	-44.7548505
168.945815	-44.64816
174.095049	-41.606816
174.5707505	-37.10853049
174.4314575	-35.7311665
175.284968	-40.671477
174.314669	-39.45268451
169.8467205	-44.93857451
169.710918	-44.460116
168.9262765	-43.95616903
169.5862055	-43.63133852
170.6999675	-44.89149083
170.7121235	-44.8218875
170.965446	-44.985845
171.060958	-44.9550555
171.1134775	-44.54094148
174.4171955	-39.61093351
174.5166715	-39.7065795
175.771647	-38.55514094
174.007554	-35.8479905
169.323956	-45.503209
175.1462385	-39.9520135
173.999517	-35.60198896
174.111477	-35.687876
174.4672275	-39.3006605
175.4771565	-40.2359095
176.0765209	-40.20449454
176.2821419	-40.31727155
170.09433	-45.7148545
176.6436675	-39.447483
171.073987	-44.43280144
170.4994625	-44.0138705
170.747715	-44.01461
170.862272	-43.9664645
170.6311675	-43.125744
171.5323979	-42.68687754
172.8822945	-43.6568255
171.9742505	-43.462454
172.6255335	-43.2643635
175.682334	-38.7040315
175.358405	-38.4481985
177.1578885	-39.078693
175.9585485	-38.588784
175.9593375	-38.09871645
176.061134	-38.06036454
176.160873	-38.2379365
172.898339	-42.90933098
173.2430811	-42.82365395
173.777581	-42.24394489
172.3434564	-42.01679608
172.7184861	-41.40716352
172.92308	-41.20136046
176.807186	-38.1035005
176.8589115	-38.59682407
174.7340251	-36.76138609
175.5208995	-36.71802144
177.205247	-39.094374
177.3868615	-38.9794095
177.8660109	-38.67188109
174.5097584	-36.30636239
172.397217	-42.910409
175.5907815	-37.880807
173.8648325	-42.11790647
172.9907251	-41.47848994
173.7488065	-41.291519
173.9800336	-41.21181301
174.92095	-37.0149145
172.4635085	-40.6543015
174.8767805	-41.14918344
175.5598006	-41.00848937
175.9123505	-41.185523
175.677704	-40.132902
174.6843275	-39.7052575
175.027791	-39.66127
176.0719765	-40.29106618
176.171343	-37.9360105
175.7912745	-39.9522115
173.7330843	-35.89847901
174.021384	-35.3704935
177.8853231	-38.50278708
169.2224975	-45.86550151
178.2628665	-38.47829911
174.6165601	-36.84019305
173.3648851	-35.11897202
174.649479	-38.97828897
175.3693963	-38.8955105
175.4282975	-38.8953055
175.19822	-38.6038545
175.3625645	-38.5411305
168.0090043	-45.97881372
168.2013325	-46.097576
