Par	mean	std	median	perc5	perc95
z1:	176.40	92.54	173.53	 4.20	338.88
z2:	349.90	307.49	221.14	 4.46	894.50
r1:	386.93	634.36	222.17	32.40	1407.45
r2:	46.85	75.55	17.26	-92.66	170.85
r3:	1644.76	1513.61	676.80	312.68	4590.62
