Par	mean	std	median	perc5	perc95
z1:	190.74	96.61	199.22	-23.71	339.27
z2:	524.06	438.96	294.69	 4.46	997.37
r1:	162.89	94.73	155.74	32.40	355.46
r2:	40.38	79.06	 2.12	-92.66	170.85
r3:	299.77	213.48	124.03	100.26	654.34
