Par	mean	std	median	perc5	perc95
z1:	433.22	305.89	376.02	-23.71	934.86
z2:	322.47	307.21	187.14	-10.77	915.93
r1:	142.26	97.25	135.44	-59.42	333.47
r2:	47.74	75.54	18.21	-92.66	170.85
r3:	1317.33	1314.04	612.23	312.68	4280.81
