Par	mean	std	median	perc5	perc95
z1:	977.82	320.46	943.02	504.37	1556.80
z2:	87.70	59.19	82.36	13.68	191.85
r1:	285.50	29.71	284.63	239.17	333.19
r2:	59.74	57.79	35.19	14.31	186.74
r3:	129.14	14.68	127.76	108.61	154.78
